consulta de movimientos;1
tarjetas;46
giros internacionales;2
cajero multifuncional;2
 transacciones;8
fiducuenta;4
consignaciones;7
tarjeta e-prepago;12
fiduciaria;1
seguro de desempleo;1
compra de cartera;2
inversiones;1
tarjeta visa;2
extractos;35
vida;2
web;8
canales;15
cuentas de ahorro;5
facturanet;12
bancolombia app;3
simulador;7
ahorros;14
seguros obligatorios;1
mastercard;22
transferencias;16
corresponsales bancarios;1
cuenta ahorro;1
giros;6
transacciones;66
tarjeta master;2
fiduciaria bancolombia;1
creditos;10
transporte;1
facturas;5
cuentas;44
corriente;6
pagos;23
sucursal virtual;115
cuenta de ahorro;16
seguros;103
sucursal virtual empresas;1
recargas;3
corresponsal bancario;10
puntos bancolombia;4
remesas;1
sucursal virtual personas;163
tarjeta prepago;4
seguros y asistencias;1
cuentas de ahorros;10
cuenta de ahorros;70
pac;21
canales virtuales;6
